City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
296,Batticaloa,LK,78.53,overcast clouds,7.7102,81.6924,Grand Star Guest House
297,Saquarema,BR,78.8,few clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
298,Saint-Georges,GD,82.4,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
299,Qui Nhon,VN,75.09,clear sky,13.7667,109.2333,Hoang Yen Canary Hotel
300,Chipinge,ZW,57.31,clear sky,-20.1883,32.6236,Chipinge Breeze Lodge
301,Garowe,SO,70.97,scattered clouds,8.4054,48.4845,Curubo Hotel
303,Myitkyina,MM,69.19,few clouds,25.3833,97.4,Shwe Phyu Hotel
304,Ginir,ET,58.51,scattered clouds,7.1333,40.7,Sura Dare Village
305,Beihai,CN,74.5,overcast clouds,21.4833,109.1,21 Degree Hostel
306,Port Lincoln,AU,61.41,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
307,San Francisco,US,66.99,broken clouds,37.7749,-122.4194,The Clift Royal Sonesta Hotel
308,Devaprayag,IN,64.74,clear sky,30.15,78.6167,Hotel UMA
309,Ozark,US,77.0,clear sky,37.0209,-93.206,Americas Best Value Inn Ozark Springfield
310,Fukue,JP,62.22,light rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
311,Sumter,US,66.2,clear sky,28.7086,-82.0831,Paradise Oaks RV Resort
312,Bairiki,KI,84.2,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
313,Russell,US,78.8,clear sky,32.3502,-85.1999,Macs
315,Kirakira,SB,81.01,overcast clouds,-10.4544,161.9205,SanBiz Lodge
316,Hokitika,NZ,57.31,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
318,Kiunga,PG,75.76,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
319,Ponta Delgada,PT,62.6,broken clouds,37.7333,-25.6667,Vila Nova Hotel
320,Dagua,CO,87.8,scattered clouds,3.6569,-76.6886,Hostal Río Dagua
322,Sola,VU,84.2,overcast clouds,-13.8833,167.55,Leumerus Bungalows
327,Waingapu,ID,77.18,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
329,Benguela,AO,81.48,broken clouds,-12.5763,13.4055,Hotel Praia Morena
331,Matara,LK,76.23,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
332,Lompoc,US,62.6,overcast clouds,34.6391,-120.4579,Holiday Inn Express Lompoc
335,Cuitlahuac,MX,86.0,clear sky,18.8167,-96.7167,Empacadora Sierra Madre
336,Ribas Do Rio Pardo,BR,83.93,broken clouds,-20.4431,-53.7592,Pousada Avenida
337,Hobyo,SO,81.99,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
342,Bilma,NE,82.8,clear sky,18.6853,12.9164,Expeditions Ténére voyages
344,Geraldton,AU,73.4,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
345,Cao Bang,VN,70.48,overcast clouds,22.6667,106.25,khách sạn 88
346,Santiago Del Estero,AR,65.84,few clouds,-27.7951,-64.2615,Apartamentos Castelli 90
347,Bousse,BF,87.8,clear sky,12.6606,-1.8922,Maison d'hôtes EBEN-EZER DE BOUSSE
348,Mwanza,TZ,69.8,light rain,-2.5167,32.9,Gold Crest Hotel
349,Townsville,AU,78.8,few clouds,-19.25,146.8,Rydges Southbank Townsville
350,Kruisfontein,ZA,57.99,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
351,Swan Hill,AU,54.54,clear sky,-35.3378,143.5544,Lazy River Motor Inn
352,Pacific Grove,US,59.0,overcast clouds,36.6177,-121.9166,Lovers Point Inn
353,Grand Gaube,MU,78.01,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
356,Vallenar,CL,69.48,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
357,Raton,US,75.2,clear sky,36.9034,-104.4391,Holiday Inn Express & Suites Raton
358,Rurrenabaque,BO,86.0,broken clouds,-14.4413,-67.5278,Casa de Campo
359,Dingle,PH,78.31,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
360,Kolaras,IN,78.91,few clouds,25.2333,77.6,Shiv Shakti Garden (Gayatri Colony)
361,Tura,IN,73.87,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
363,Farafangana,MG,74.7,overcast clouds,-22.8167,47.8333,Miarina
368,Sorong,ID,80.06,broken clouds,-0.8833,131.25,waigo splash hotel
370,Labuhan,ID,77.61,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
371,Rincon,US,73.4,broken clouds,32.296,-81.2354,Days Inn Rincon
372,Axim,GH,80.85,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
374,Pawayan,IN,73.67,clear sky,28.0667,80.1,SBM TOILET KAMALBAG
375,Luxor,EG,62.6,clear sky,25.6989,32.6421,Iberotel Luxor
376,Cajabamba,PE,59.92,light rain,-7.6167,-78.05,Hotel Frayle Cajabamba
379,Castro,BR,63.9,clear sky,-24.7911,-50.0119,CHACARA BAILLY
381,Nhulunbuy,AU,78.8,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
383,Chake Chake,TZ,77.36,light rain,-5.2459,39.7666,Hotel Archipelago
384,Rocha,UY,62.96,overcast clouds,-34.4833,-54.3333,Beleza Pura B&B
385,Siocon,PH,80.19,scattered clouds,7.7061,122.1353,ABS Hotel
389,Laguna,US,82.99,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
390,Mailsi,PK,79.03,scattered clouds,29.8003,72.1758,Mian Lodge
391,Barcelos,PT,57.99,clear sky,41.5388,-8.6151,Hotel Do Terço
392,Vao,NC,76.08,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
393,Monrovia,LR,77.0,light rain,6.3005,-10.7969,Sunset Inn
394,Upington,ZA,69.8,clear sky,-28.4478,21.2561,River Place Manor
395,Sabha,LY,73.96,broken clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
398,Gorontalo,ID,77.76,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
399,Sioux City,US,66.2,clear sky,42.5,-96.4003,Hilton Garden Inn Sioux City Riverfront
401,Creston,US,66.2,clear sky,41.0586,-94.3614,Supertel Inn & Conference Center
404,Novyy Rogachik,RU,57.0,scattered clouds,48.6768,44.0608,V Gostyakh u Baby Poli
407,Butembo,CD,57.49,broken clouds,0.15,29.2833,Hotel Butembo
408,Mayo,US,70.0,few clouds,38.8876,-76.5119,Resorts Resource Group International
409,Zhongshu,CN,55.56,few clouds,24.5167,103.7667,Xintianlong Hotel
410,San Juan,AR,66.43,clear sky,-31.5375,-68.5364,Hotel Provincial
411,Bathsheba,BB,78.8,volcanic ash,13.2167,-59.5167,Atlantis Hotel
412,Rio Tercero,AR,57.0,clear sky,-32.173,-64.1141,"Hotel Vélez Sarsfield ""Low Cost"""
414,Saint Anthony,US,55.4,overcast clouds,45.0205,-93.21799999999999,Holiday Inn Express Roseville-St. Paul
415,Coquimbo,CL,59.0,clear sky,-29.9533,-71.3436,Punto de encuentro
416,Naze,JP,69.8,few clouds,28.3667,129.4833,奄美ポートタワーホテル
417,Hambantota,LK,77.79,overcast clouds,6.1241,81.1185,Bungalow 63
418,Tooele,US,51.01,clear sky,40.5308,-112.2983,Holiday Inn Express & Suites Tooele
419,Lata,PT,55.0,few clouds,40.1629,-8.3327,Casa Maquia
420,Lamu,KE,82.4,scattered clouds,-2.2717,40.902,Lamu House
421,Sao Filipe,CV,75.07,clear sky,14.8961,-24.4956,Tortuga B&B
422,Itoman,JP,69.8,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
426,Port Pirie,AU,50.0,overcast clouds,-33.1833,138.0167,John Pirie Motor Inn
427,Coos Bay,US,55.99,clear sky,43.3665,-124.2179,Best Western Holiday Hotel
428,Takoradi,GH,80.82,overcast clouds,4.8845,-1.7554,Raybow International Hotel
429,Keelung,TW,71.01,few clouds,25.1283,121.7419,East Coast Star Boutique Hotel
430,Gaya,IN,69.8,haze,24.7833,85.0,Hotel Kumar Kripa
431,Kununurra,AU,77.0,overcast clouds,-15.7667,128.7333,Hotel Kununurra
432,Sayyan,YE,57.99,clear sky,15.1718,44.3244,متنزه و بحيرة سيان
433,Faya,SA,62.6,clear sky,18.3851,42.4509,مقبرة ال مجمل
434,Mindelo,CV,71.6,few clouds,16.8901,-24.9804,Hotel Gaudi
435,Port Elizabeth,ZA,60.8,scattered clouds,-33.918,25.5701,39 On Nile Guest House
437,Brenes,ES,60.8,clear sky,37.5494,-5.8714,Hotel El Juncal
438,Camacha,PT,64.4,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
439,Sibolga,ID,76.08,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
440,Umm Lajj,SA,69.21,clear sky,25.0213,37.2685,Moon light Furnished Units
442,Emerald,AU,64.4,clear sky,-23.5333,148.1667,The Irish Village
443,Bahia Blanca,AR,64.98,clear sky,-38.7196,-62.2724,Hotel Argos
447,Padang,ID,75.2,overcast clouds,-0.9492,100.3543,Mercure Padang
448,Palmerston,AU,80.01,broken clouds,-12.485999999999999,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
450,Shelburne,CA,60.01,broken clouds,44.0787,-80.2041,The Retreat at the Farm
451,Avarua,CK,82.4,light rain,-21.2078,-159.775,Paradise Inn
452,Gasa,PS,55.4,scattered clouds,31.5,34.4667,رابطة الفنانين الفلسطينيين
453,Buala,SB,82.17,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
455,Malino,PH,73.4,broken clouds,15.1257,120.6727,Mula 1522 Private Resort
458,Iroquois Falls,CA,68.0,light rain,48.7669,-80.6831,Auberge MacDonald Guest Inn
460,Moctezuma,MX,88.9,overcast clouds,29.8,-109.6667,Hotel Lobohombo
462,Gambela,ET,82.71,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
463,Hadejia,NG,85.69,broken clouds,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
466,Puerto Narino,CO,84.2,moderate rain,-3.7703,-70.3831,Eware Refugio Amazonico
467,Bubaque,GW,77.0,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
469,Hillsborough,US,68.0,broken clouds,37.5741,-122.3794,Hyatt Regency San Francisco Airport
470,Portobelo,PA,86.0,broken clouds,9.55,-79.65,Scuba Portobelo
471,Maceio,BR,71.6,light rain,-9.6658,-35.7353,Poutur Pousada
472,Tucson,US,90.0,few clouds,32.2217,-110.9265,DoubleTree by Hilton Hotel Tucson - Reid Park
473,Idanre,NG,70.43,overcast clouds,7.1127,5.1159,Rock valley hotel
476,Jalu,LY,60.46,clear sky,29.0331,21.5482,صاحبة الفخامة
477,Zhoucheng,CN,61.0,overcast clouds,35.9122,116.3117,Yingbin Restaurant
479,Chimbote,PE,70.2,overcast clouds,-9.0853,-78.5783,Hotel Viera Chimbote
480,Lakatoro,VU,82.36,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
481,Carauari,BR,75.56,overcast clouds,-4.8828,-66.8958,Hotel Fellip
482,Puerto Maldonado,PE,74.12,overcast clouds,-12.6,-69.1833,Wasai Hotel
483,Itacoatiara,BR,75.56,overcast clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
485,Bouna,CI,83.71,overcast clouds,9.2667,-3.0,Hotel Reserve
486,Point Pedro,LK,81.39,broken clouds,9.8167,80.2333,Gtr homes
489,Xacmaz,AZ,51.08,overcast clouds,41.4635,48.806000000000004,SAHİL HOTEL
490,Gold Coast,AU,69.01,clear sky,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
491,Buchanan,LR,77.0,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
492,Sigli,ID,78.57,few clouds,5.3848,95.9609,Losmen Dua Mali
494,Papara,BR,79.0,clear sky,-3.9839,-38.7273,Romin
495,Puerto Baquerizo Moreno,EC,80.6,broken clouds,-0.9,-89.6,Hotel los Algarrobos
496,Yarada,IN,79.61,clear sky,17.65,83.2667,Jeevan
498,Nantong,CN,61.0,overcast clouds,32.0303,120.8747,Overseas Chinese Hotel Nantong
499,Kipushi,CD,58.28,broken clouds,-11.7667,27.2333,Villa Madimba
500,Ballina,AU,61.0,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
501,Kalemie,CD,70.16,light rain,-5.9475,29.1947,Mahobilali
503,Takaungu,KE,78.64,light rain,-3.6837,39.8566,Takaungu House
504,Madang,PG,79.0,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
505,Brownwood,US,89.6,clear sky,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
506,Shingu,JP,59.72,overcast clouds,33.7333,135.9833,Shingu UI Hotel
507,Kieta,PG,83.84,light rain,-6.2167,155.6333,Uruna Bay Retreat
508,Oistins,BB,78.8,volcanic ash,13.0667,-59.5333,Butterfly Beach Hotel
509,Kotturu,IN,76.62,clear sky,14.8167,76.2167,MYDUR SHANTHAMMA LAYOUT
510,Bandrele,YT,78.8,clear sky,-12.9067,45.1914,Les Baobabs
512,Havelock,US,66.99,overcast clouds,34.8791,-76.9013,Sherwood Motel
513,Flinders,AU,54.0,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
515,Delaware,US,66.99,few clouds,39.0004,-75.4999,Killens Pond State Park
517,Nizwa,OM,74.37,clear sky,22.9333,57.5333,Orient Apartments
518,Raha,IN,74.5,clear sky,26.2333,92.5167,Bishnu Rajbingshi Rent House
519,La Ciotat,FR,54.0,overcast clouds,43.1748,5.6045,ibis La Ciotat
521,Brandon,US,66.2,moderate rain,27.9378,-82.2859,Brandon Motor Lodge
522,Manono,CD,68.86,light rain,-7.3,27.4167,Hotel hewa bora
524,Creel,MX,67.87,overcast clouds,27.75,-107.6333,The Lodge at Creel Hotel & SPA
525,Kapit,MY,72.63,light rain,2.0167,112.9333,Hotel Meligai Kapit
526,Tefe,BR,78.8,scattered clouds,-3.3542,-64.7114,Aracati Hotel
529,Rio Gallegos,AR,55.4,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
530,Price,US,62.6,clear sky,39.5994,-110.8107,National 9 - Price River Inn
532,Salalah,OM,80.6,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
535,Sao Joao Da Barra,BR,78.8,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
536,Kavieng,PG,78.57,light rain,-2.5744,150.7967,Nusa Island Retreat
537,Bambanglipuro,ID,76.26,broken clouds,-7.95,110.2833,Puri Brata
543,Los Llanos De Aridane,ES,68.0,clear sky,28.6585,-17.9182,Valle Aridane
546,Wanaka,NZ,58.06,broken clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
548,San Cristobal,VE,87.8,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
549,Jacareacanga,BR,75.56,light rain,-6.2222,-57.7528,Casa do Ian😎
550,Soyo,AO,79.02,broken clouds,-6.1349,12.3689,Hotel Mpampa
551,Tingo Maria,PE,71.98,broken clouds,-9.2895,-76.0088,Hospedaje Paraíso
552,Wilmington,US,73.4,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
553,Laurel,US,77.0,scattered clouds,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
554,Puerto Morazan,NI,89.6,few clouds,12.8504,-87.1717,Iglesia de Dios de la profecia
556,Keffi,NG,77.0,scattered clouds,8.8486,7.8736,Imam Family
557,Moindou,NC,77.0,broken clouds,-21.6924,165.67700000000002,Gite de la RYAWA
558,Nouadhibou,MR,68.0,clear sky,20.930999999999997,-17.0347,El Medina
559,Mumford,GH,81.23,overcast clouds,5.2618,-0.759,Spanish Villa
561,Harrison,US,75.0,clear sky,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
562,Tabou,CI,80.37,broken clouds,4.423,-7.3528,hotêl doufoulougou
563,Pilar,BR,71.6,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
565,Bobon,PH,79.47,overcast clouds,12.5246,124.5636,Binang and Cadio Resort
