City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lorengau,PG,2021-04-06 20:21:56,-2.0226,147.2712,81.05,78,85,7.72
1,Mayo,US,2021-04-06 20:21:56,38.8876,-76.5119,71.01,51,1,9.22
2,Ushuaia,AR,2021-04-06 20:21:57,-54.8,-68.3,51.8,62,75,10.36
3,Caravelas,BR,2021-04-06 20:21:57,-17.7125,-39.2481,78.42,65,0,7.16
4,Rikitea,PF,2021-04-06 20:21:57,-23.1203,-134.9692,76.78,72,9,10.11
5,Olinda,BR,2021-04-06 20:21:57,-8.0089,-34.8553,80.6,65,20,11.5
6,Ponta Do Sol,PT,2021-04-06 20:21:58,32.6667,-17.1,61.0,68,18,5.01
7,Vaini,TO,2021-04-06 20:21:58,-21.2,-175.2,77.0,83,75,6.91
8,Kaoma,ZM,2021-04-06 20:21:58,-14.7833,24.8,67.96,62,84,4.34
9,Pirovskoye,RU,2021-04-06 20:21:59,57.6267,92.2658,34.97,85,98,9.53
10,Takaka,NZ,2021-04-06 20:21:59,-40.85,172.8,55.0,89,0,1.99
11,Nouadhibou,MR,2021-04-06 20:21:59,20.931,-17.0347,66.2,77,0,16.11
12,Aksu,CN,2021-04-06 20:22:00,41.1231,80.2644,53.08,39,97,7.2
13,Ishigaki,JP,2021-04-06 20:22:00,24.3448,124.1572,69.01,67,0,22.5
14,Punta Arenas,CL,2021-04-06 20:22:00,-53.15,-70.9167,50.0,81,90,8.05
15,Kangaatsiaq,GL,2021-04-06 20:22:01,68.3065,-53.4641,16.12,78,100,7.34
16,Bredasdorp,ZA,2021-04-06 20:22:01,-34.5322,20.0403,53.6,100,96,3.44
17,Kapaa,US,2021-04-06 20:22:01,22.0752,-159.319,77.0,50,40,21.85
18,Puerto Ayora,EC,2021-04-06 20:22:02,-0.7393,-90.3518,80.6,78,20,11.5
19,Khash,IR,2021-04-06 20:22:02,28.2211,61.2158,59.09,14,0,5.55
20,New Norfolk,AU,2021-04-06 20:22:02,-42.7826,147.0587,52.0,80,71,2.33
21,Rawson,AR,2021-04-06 20:22:03,-43.3002,-65.1023,66.87,85,100,12.53
22,Roald,NO,2021-04-06 20:22:03,62.5833,6.1333,39.2,75,75,14.97
23,Cape Town,ZA,2021-04-06 20:20:57,-33.9258,18.4232,64.99,88,0,9.22
24,Bolu,TR,2021-04-06 20:22:04,40.6667,31.5833,56.34,43,61,14.43
25,Tuktoyaktuk,CA,2021-04-06 20:22:04,69.4541,-133.0374,-9.4,77,40,11.5
26,Flinders,AU,2021-04-06 20:22:04,-34.5833,150.8552,64.99,92,37,1.01
27,Kahului,US,2021-04-06 20:22:05,20.8947,-156.47,75.2,69,40,20.71
28,Gashua,NG,2021-04-06 20:22:05,12.871,11.0482,89.13,12,77,9.75
29,San Patricio,US,2021-04-06 20:22:05,28.017,-97.5169,81.0,69,75,28.77
30,Nanortalik,GL,2021-04-06 20:22:05,60.1432,-45.2371,34.86,97,100,6.24
31,La Union,PE,2021-04-06 20:22:06,-5.4,-80.75,87.44,46,100,8.5
32,Bambous Virieux,MU,2021-04-06 20:22:06,-20.3428,57.7575,77.0,94,40,6.91
33,Itarema,BR,2021-04-06 20:22:06,-2.9248,-39.9167,82.02,74,100,13.67
34,Avarua,CK,2021-04-06 20:22:07,-21.2078,-159.775,82.4,69,75,14.97
35,Isangel,VU,2021-04-06 20:22:07,-19.55,169.2667,76.82,79,78,11.88
36,Matay,EG,2021-04-06 20:22:07,28.419,30.7792,77.68,7,91,5.57
37,Lagoa,PT,2021-04-06 20:22:08,39.05,-27.9833,59.94,84,100,11.72
38,Muzhi,RU,2021-04-06 20:22:08,65.3667,64.6667,9.54,97,28,2.8
39,Agvali,RU,2021-04-06 20:22:08,42.5385,46.1197,47.61,86,16,9.84
40,Airai,TL,2021-04-06 20:22:09,-8.9266,125.4092,59.7,85,74,0.81
41,Hobart,AU,2021-04-06 20:20:54,-42.8794,147.3294,53.6,87,20,4.61
42,Severo-Kurilsk,RU,2021-04-06 20:22:09,50.6789,156.125,25.66,75,19,16.96
43,Zarand,IR,2021-04-06 20:22:09,30.8127,56.564,60.15,13,0,3.89
44,Upernavik,GL,2021-04-06 20:22:10,72.7868,-56.1549,8.62,92,100,16.37
45,Nanchong,CN,2021-04-06 20:22:10,30.7951,106.0847,57.2,96,100,2.19
46,Mataura,NZ,2021-04-06 20:22:11,-46.1927,168.8643,55.0,83,100,8.99
47,Norman Wells,CA,2021-04-06 20:22:11,65.282,-126.8329,3.2,60,75,4.61
48,Atuona,PF,2021-04-06 20:22:11,-9.8,-139.0333,80.64,79,69,10.56
49,Barrow,US,2021-04-06 20:17:25,71.2906,-156.7887,-5.8,77,1,10.36
50,Kenai,US,2021-04-06 20:22:12,60.5544,-151.2583,24.8,36,1,5.86
51,Innisfail,AU,2021-04-06 20:22:12,-17.5333,146.0333,73.42,92,100,4.09
52,Albany,US,2021-04-06 20:19:43,42.6001,-73.9662,64.99,16,5,1.01
53,High Rock,BS,2021-04-06 20:22:13,26.6208,-78.2833,71.6,49,20,11.5
54,Half Moon Bay,US,2021-04-06 20:22:13,37.4636,-122.4286,64.0,76,90,9.22
55,Carauari,BR,2021-04-06 20:22:13,-4.8828,-66.8958,83.01,85,100,2.64
56,Yaan,NG,2021-04-06 20:22:14,7.3833,8.5667,88.09,51,95,12.21
57,Sirur,IN,2021-04-06 20:22:14,18.8333,74.3833,83.61,28,4,7.36
58,Labuan,MY,2021-04-06 20:22:14,5.2767,115.2417,78.8,94,20,3.44
59,Cockburn Town,TC,2021-04-06 20:22:15,21.4612,-71.1419,74.19,68,100,17.98
60,Saskylakh,RU,2021-04-06 20:22:15,71.9167,114.0833,7.65,95,100,7.47
61,Butaritari,KI,2021-04-06 20:22:15,3.0707,172.7902,79.81,75,100,2.77
62,Aljezur,PT,2021-04-06 20:22:16,37.3191,-8.8033,57.09,81,21,6.82
63,Leningradskiy,RU,2021-04-06 20:22:16,69.3833,178.4167,-11.88,93,64,5.59
64,Vidim,RU,2021-04-06 20:22:16,56.4088,103.1106,27.79,99,99,3.24
65,Swift Current,CA,2021-04-06 20:22:17,50.2834,-107.8014,55.4,33,1,6.91
66,Carnarvon,AU,2021-04-06 20:22:17,-24.8667,113.6333,75.2,83,82,13.8
67,Qaanaaq,GL,2021-04-06 20:22:17,77.484,-69.3632,3.92,82,100,1.66
68,Samfya,ZM,2021-04-06 20:22:18,-11.3649,29.5565,65.75,91,83,9.24
69,Sao Filipe,CV,2021-04-06 20:22:18,14.8961,-24.4956,76.68,59,0,10.33
70,Geraldton,AU,2021-04-06 20:22:18,-28.7667,114.6,68.0,83,43,5.75
71,Tarata,BO,2021-04-06 20:22:19,-17.6167,-66.0167,75.2,29,40,6.91
72,Gravdal,NO,2021-04-06 20:22:19,68.1214,13.5031,33.8,80,75,18.41
73,Rio Grande,BR,2021-04-06 20:22:19,-32.035,-52.0986,78.8,73,40,11.5
74,Kamenka,RU,2021-04-06 20:22:20,51.3223,42.7678,37.99,82,72,6.46
75,Cervo,ES,2021-04-06 20:22:20,43.6702,-7.4101,50.0,77,100,7.0
76,Kodinsk,RU,2021-04-06 20:22:20,58.6881,99.1844,33.46,97,61,3.36
77,Zhigansk,RU,2021-04-06 20:22:20,66.7697,123.3711,-12.64,99,93,9.84
78,Abha,SA,2021-04-06 20:22:21,18.2164,42.5053,68.0,48,16,3.44
79,Kirksville,US,2021-04-06 20:18:38,40.1948,-92.5833,78.8,44,75,18.41
80,Balagansk,RU,2021-04-06 20:22:21,54.0103,103.0544,30.58,99,100,2.8
81,Ierapetra,GR,2021-04-06 20:22:22,35.01,25.7353,60.01,74,5,7.2
82,Faanui,PF,2021-04-06 20:22:22,-16.4833,-151.75,80.76,61,87,12.28
83,Bluff,NZ,2021-04-06 20:22:22,-46.6,168.3333,55.0,83,100,8.99
84,Deputatskiy,RU,2021-04-06 20:22:22,69.3,139.9,-19.98,99,94,3.83
85,Kodiak,US,2021-04-06 20:22:23,57.79,-152.4072,37.4,52,1,8.05
86,Ust-Nera,RU,2021-04-06 20:22:23,64.5667,143.2,-0.51,99,99,1.19
87,Okhotsk,RU,2021-04-06 20:22:24,59.3833,143.3,1.38,87,85,8.23
88,Brindisi,IT,2021-04-06 20:22:24,40.5833,17.6667,60.01,58,40,11.5
89,Srednekolymsk,RU,2021-04-06 20:22:24,67.45,153.6833,-20.9,96,75,7.29
90,Mbeya,TZ,2021-04-06 20:22:25,-8.9,33.45,59.99,98,100,4.43
91,Thibodaux,US,2021-04-06 20:22:25,29.7958,-90.8229,81.0,77,84,5.99
92,Buraydah,SA,2021-04-06 20:22:25,26.326,43.975,73.4,20,0,9.22
93,Mitu,CO,2021-04-06 20:22:25,1.1983,-70.1733,79.23,89,75,1.41
94,Gomel,BY,2021-04-06 20:20:14,52.4345,30.9754,37.99,93,90,6.71
95,Sitka,US,2021-04-06 20:22:26,57.0531,-135.33,35.6,93,90,9.22
96,Quelimane,MZ,2021-04-06 20:22:26,-17.8786,36.8883,78.01,78,40,3.44
97,Provideniya,RU,2021-04-06 20:22:27,64.3833,-173.3,4.91,77,2,4.47
98,Hermanus,ZA,2021-04-06 20:22:27,-34.4187,19.2345,59.0,89,45,1.99
99,Weener,DE,2021-04-06 20:22:27,53.1667,7.35,33.01,93,100,1.01
100,Labuhan,ID,2021-04-06 20:22:28,-6.8844,112.2051,78.48,86,97,8.08
101,Bambanglipuro,ID,2021-04-06 20:22:28,-7.95,110.2833,76.08,91,99,3.38
102,Tuatapere,NZ,2021-04-06 20:22:28,-46.1333,167.6833,55.0,83,96,8.99
103,Arraial Do Cabo,BR,2021-04-06 20:22:29,-22.9661,-42.0278,78.8,73,20,12.66
104,Hilo,US,2021-04-06 20:22:29,19.7297,-155.09,69.8,83,90,6.91
105,Thompson,CA,2021-04-06 20:18:55,55.7435,-97.8558,35.6,69,40,5.75
106,Tocantins,BR,2021-04-06 20:22:30,-10.5,-48.0,89.6,55,20,5.75
107,Esperance,AU,2021-04-06 20:22:30,-33.8667,121.9,64.4,100,90,6.91
108,Ponta Delgada,PT,2021-04-06 20:22:30,37.7333,-25.6667,60.8,94,40,5.75
109,Shubarkuduk,KZ,2021-04-06 20:22:31,49.1447,56.4872,45.54,54,100,12.01
110,Namatanai,PG,2021-04-06 20:22:31,-3.6667,152.4333,79.18,83,100,5.48
111,Saint-Pierre,RE,2021-04-06 20:22:32,-21.3393,55.4781,77.0,73,0,4.61
112,Tiksi,RU,2021-04-06 20:22:32,71.6872,128.8694,-14.39,99,40,6.17
113,Espinho,PT,2021-04-06 20:22:32,41.0076,-8.6413,59.0,88,0,1.14
114,Shingu,JP,2021-04-06 20:22:33,33.7333,135.9833,48.92,91,77,4.12
115,La Ciotat,FR,2021-04-06 20:22:33,43.1748,5.6045,46.0,37,0,10.0
116,Yellowknife,CA,2021-04-06 20:22:33,62.456,-114.3525,19.99,73,75,16.11
117,Hambantota,LK,2021-04-06 20:22:34,6.1241,81.1185,78.04,86,12,7.14
118,Tessalit,ML,2021-04-06 20:22:34,20.1986,1.0114,84.36,4,0,9.04
119,Shache,CN,2021-04-06 20:22:34,38.4167,77.2406,44.08,83,100,15.88
120,Keti Bandar,PK,2021-04-06 20:22:35,24.1447,67.4497,80.53,74,0,14.29
121,Huarmey,PE,2021-04-06 20:22:35,-10.0681,-78.1522,76.05,72,95,11.56
122,Victoria,HK,2021-04-06 20:22:35,22.2855,114.1577,73.0,81,87,17.4
123,Sungaipenuh,ID,2021-04-06 20:22:36,-2.0833,101.3833,62.51,93,98,1.21
124,Kyren,RU,2021-04-06 20:22:36,51.6828,102.1408,36.3,58,41,1.97
125,Chuy,UY,2021-04-06 20:22:36,-33.6971,-53.4616,73.47,70,14,9.1
126,Vianopolis,BR,2021-04-06 20:22:37,-16.7419,-48.5164,71.89,83,100,2.44
127,Luderitz,NA,2021-04-06 20:22:37,-26.6481,15.1594,61.45,88,1,14.0
128,Touros,BR,2021-04-06 20:22:38,-5.1989,-35.4608,82.4,69,20,12.66
129,Evanston,US,2021-04-06 20:22:38,42.0411,-87.6901,80.6,34,75,13.8
130,Nome,US,2021-04-06 20:22:38,64.5011,-165.4064,10.4,56,1,8.05
131,Lavrentiya,RU,2021-04-06 20:22:38,65.5833,-171.0,-1.14,88,10,5.35
132,Ullapool,GB,2021-04-06 20:22:39,57.8987,-5.1604,35.01,70,100,7.0
133,Mar Del Plata,AR,2021-04-06 20:22:39,-38.0023,-57.5575,71.6,88,40,14.97
134,Obregon,NI,2021-04-06 20:22:39,11.9566,-85.9636,93.2,49,40,11.5
135,Tromso,NO,2021-04-06 20:22:40,69.6496,18.957,32.0,93,90,21.85
136,Lebu,CL,2021-04-06 20:22:40,-37.6167,-73.65,58.37,87,100,8.88
137,Richards Bay,ZA,2021-04-06 20:22:41,-28.783,32.0377,69.04,93,56,5.68
138,Sistranda,NO,2021-04-06 20:22:41,63.7256,8.834,39.2,81,75,28.77
139,Mount Gambier,AU,2021-04-06 20:22:41,-37.8333,140.7667,48.2,100,13,3.44
140,Peterhead,GB,2021-04-06 20:18:05,57.5058,-1.7981,37.99,60,75,29.93
141,Saldanha,ZA,2021-04-06 20:20:07,-33.0117,17.9442,64.4,52,4,4.61
142,Jamame,SO,2021-04-06 20:22:42,0.0722,42.7506,81.84,76,6,10.69
143,Tasiilaq,GL,2021-04-06 20:22:42,65.6145,-37.6368,23.0,80,20,16.11
144,Constitucion,CL,2021-04-06 20:22:43,-35.3333,-72.4167,64.04,67,95,6.8
145,Jamestown,US,2021-04-06 20:20:55,42.097,-79.2353,69.8,43,1,6.91
146,Bethel,US,2021-04-06 20:22:43,41.3712,-73.414,66.2,26,1,9.22
147,Viline,UA,2021-04-06 20:22:43,44.8456,33.6716,59.0,51,100,8.37
148,Saint-Philippe,RE,2021-04-06 20:22:44,-21.3585,55.7679,77.0,73,0,4.61
149,Ambovombe,MG,2021-04-06 20:22:44,-25.1667,46.0833,72.25,80,30,10.49
150,Sao Sebastiao,BR,2021-04-06 20:22:44,-23.76,-45.4097,73.51,87,100,6.22
151,Salalah,OM,2021-04-06 20:22:45,17.0151,54.0924,80.6,74,0,2.3
152,Solwezi,ZM,2021-04-06 20:22:45,-12.1688,26.3894,60.75,95,96,3.74
153,Necochea,AR,2021-04-06 20:22:45,-38.5473,-58.7368,82.0,56,7,18.01
154,Saint George,US,2021-04-06 20:19:08,37.1041,-113.5841,71.01,9,0,5.01
155,Am Timan,TD,2021-04-06 20:22:46,11.0297,20.2827,92.88,10,0,4.09
156,Mulanje,MW,2021-04-06 20:22:46,-16.0316,35.5,64.33,95,10,8.32
157,Praia,CV,2021-04-06 20:22:47,14.9215,-23.5087,77.0,41,0,23.02
158,Mount Isa,AU,2021-04-06 20:22:47,-20.7333,139.5,71.6,56,12,4.61
159,Mathbaria,BD,2021-04-06 20:22:47,22.2876,89.9593,75.69,78,0,6.31
160,Chicama,PE,2021-04-06 20:22:48,-7.8447,-79.1469,69.8,88,40,9.22
161,Pisco,PE,2021-04-06 20:22:48,-13.7,-76.2167,82.4,51,0,13.8
162,Cayeli,TR,2021-04-06 20:19:20,41.0923,40.7292,62.83,55,100,10.0
163,Ixtapa,MX,2021-04-06 20:22:48,20.7,-105.2,80.6,69,20,13.8
164,Hualmay,PE,2021-04-06 20:22:49,-11.0964,-77.6139,74.71,73,91,10.69
165,Laguna,US,2021-04-06 20:20:57,38.421,-121.4238,73.0,43,1,3.6
166,Mogadishu,SO,2021-04-06 20:22:49,2.0371,45.3438,82.45,71,7,14.83
167,Cimitarra,CO,2021-04-06 20:22:49,6.3142,-73.9497,83.28,76,100,1.3
168,Ribeira Grande,PT,2021-04-06 20:22:50,38.5167,-28.7,62.6,77,20,4.61
169,Talavera,PH,2021-04-06 20:22:50,15.6167,120.9333,78.8,73,75,2.3
170,Chiredzi,ZW,2021-04-06 20:22:50,-21.05,31.6667,65.79,54,0,5.77
171,Esso,RU,2021-04-06 20:22:51,55.9333,158.7,6.13,96,82,5.35
172,Mahanoro,MG,2021-04-06 20:22:51,-19.9,48.8,75.2,89,100,8.14
173,Vigrestad,NO,2021-04-06 20:22:51,58.5667,5.7,33.01,97,95,15.03
174,Tigzirt,DZ,2021-04-06 20:22:52,36.8886,4.1198,59.97,62,2,2.66
175,Saint-Augustin,CA,2021-04-06 20:22:52,51.226,-58.6502,40.46,99,100,15.28
176,Maningrida,AU,2021-04-06 20:22:52,-12.0667,134.2667,73.56,80,55,4.54
177,Caruray,PH,2021-04-06 20:22:52,10.3094,119.0128,77.85,85,100,7.38
178,Pangnirtung,CA,2021-04-06 20:22:53,66.1451,-65.7125,8.6,78,20,4.61
179,Husavik,IS,2021-04-06 20:22:53,66.0449,-17.3389,17.6,62,0,6.91
180,Margate,GB,2021-04-06 20:22:36,51.3813,1.3862,37.0,63,35,4.0
181,San Quintin,MX,2021-04-06 20:22:54,30.4833,-115.95,66.56,60,81,18.59
182,Kieta,PG,2021-04-06 20:22:54,-6.2167,155.6333,79.39,83,100,1.88
183,Mersing,MY,2021-04-06 20:22:54,2.4312,103.8405,80.6,89,100,5.75
184,Meadow Lake,US,2021-04-06 20:22:55,34.8014,-106.5436,75.99,8,20,25.32
185,Cabo San Lucas,MX,2021-04-06 20:22:05,22.8909,-109.9124,78.8,60,1,11.5
186,Busselton,AU,2021-04-06 20:22:55,-33.65,115.3333,60.01,97,60,5.57
187,Georgetown,MY,2021-04-06 20:22:56,5.4112,100.3354,79.0,94,20,5.14
188,Buckeye,US,2021-04-06 20:22:56,33.3703,-112.5838,89.01,9,100,10.36
189,Gat,IL,2021-04-06 20:22:04,31.61,34.7642,71.01,52,62,2.13
190,Kudymkar,RU,2021-04-06 20:22:57,59.0173,54.656,30.88,92,93,4.43
191,Beloha,MG,2021-04-06 20:22:57,-25.1667,45.05,70.86,78,53,8.41
192,Broome,US,2021-04-06 20:22:57,42.2506,-75.833,60.8,12,1,11.5
193,Porto Belo,BR,2021-04-06 20:22:58,-27.1578,-48.5531,73.4,83,75,3.44
